Protein,VIKOR_Rank,EDAS_Rank,SPOTIS_Rank,Ranky_Score_Rank,Ranky_Rank,Borda_Score,Borda_Rank
TGRH88_005300,1,4,13,13,4,7,1
TGRH88_011090,13,10,7,7,1,7.6,2
TGRH88_022490,15,8,32,32,5,18.4,3
TGRH88_064620,32,59,2,2,8,20.6,4
TGRH88_054080,27,12,37,37,2,23,5
TGRH88_006720,25,15,53,53,3,29.8,6
TGRH88_024370,58,41,22,22,12,31,7
TGRH88_052140,45,107,6,6,13,35.4,8
TGRH88_014830,51,18,57,57,6,37.8,9
TGRH88_037980,65,34,39,39,16,38.6,10
TGRH88_004640,70,37,42,42,7,39.6,11
TGRH88_043600,24,69,50,50,11,40.8,12
TGRH88_016190,57,119,15,15,22,45.6,13
TGRH88_020320,60,16,71,71,14,46.4,14
TGRH88_005500,50,145,10,10,24,47.8,15
TGRH88_016210,61,98,28,28,30,49,16
TGRH88_076900,10,14,135,135,9,60.6,17
TGRH88_010860,79,131,21,21,53,61,18
TGRH88_039100,82,105,31,31,57,61.2,19
TGRH88_013710,102,95,38,38,37,62,20
TGRH88_035710,18,24,27,27,232,65.6,21
TGRH88_067750,110,62,72,72,25,68.2,22
TGRH88_059530,114,102,49,49,29,68.6,23
TGRH88_022410,19,49,75,75,133,70.2,24
TGRH88_081430,115,162,35,35,10,71.4,25
TGRH88_054070,119,134,43,43,18,71.4,25
TGRH88_077680,44,218,5,5,134,81.2,27
TGRH88_055000,135,149,54,54,17,81.8,28
TGRH88_007130,30,17,182,182,20,86.2,29
TGRH88_083150,2,7,191,191,51,88.4,30
TGRH88_060690,73,43,129,129,74,89.6,31
TGRH88_036780,89,237,40,40,48,90.8,32
TGRH88_058550,71,252,19,19,109,94,33
TGRH88_026590,38,19,194,194,39,96.8,34
TGRH88_023680,99,230,34,34,91,97.6,35
TGRH88_005460,55,323,11,11,105,101,36
TGRH88_061480,69,283,17,17,140,105.2,37
TGRH88_069280,77,324,18,18,101,107.6,38
TGRH88_057830,199,106,100,100,33,107.6,38
TGRH88_025740,66,5,23,23,430,109.4,40
TGRH88_031880,138,161,56,56,137,109.6,41
TGRH88_031220,175,132,84,84,76,110.2,42
TGRH88_070170,33,40,158,158,177,113.2,43
TGRH88_045680,213,101,110,110,34,113.6,44
TGRH88_053060,62,291,12,12,191,113.6,44
TGRH88_024110,109,263,63,63,85,116.6,46
TGRH88_027910,200,97,101,101,95,118.8,47
TGRH88_051660,139,26,212,212,15,120.8,48
TGRH88_035590,78,395,26,26,84,121.8,49
TGRH88_073680,34,128,179,179,97,123.4,50
TGRH88_017260,49,458,8,8,99,124.4,51
TGRH88_003050,96,55,178,178,120,125.4,52
TGRH88_002150,116,262,60,60,145,128.6,53
TGRH88_047350,91,360,45,45,115,131.2,54
TGRH88_078580,235,153,130,130,21,133.8,55
TGRH88_014370,221,130,120,120,93,136.8,56
TGRH88_023910,126,121,201,201,36,137,57
TGRH88_081400,143,256,119,119,60,139.4,58
TGRH88_074130,95,461,33,33,78,140,59
TGRH88_015810,153,260,65,65,158,140.2,60
TGRH88_012590,148,27,250,250,26,140.2,60
TGRH88_024390,112,325,41,41,196,143,62
TGRH88_031850,210,67,206,206,44,146.6,63
TGRH88_003360,187,75,198,198,86,148.8,64
TGRH88_071150,168,328,79,79,90,148.8,64
TGRH88_081110,54,25,318,318,46,152.2,66
TGRH88_052690,108,456,48,48,102,152.4,67
TGRH88_017020,208,178,106,106,165,152.6,68
TGRH88_021900,101,160,224,224,58,153.4,69
TGRH88_007470,193,195,98,98,184,153.6,70
TGRH88_033800,56,32,261,261,167,155.4,71
TGRH88_071510,120,548,44,44,55,162.2,72
TGRH88_050250,161,407,74,74,122,167.6,73
TGRH88_049510,252,215,144,144,87,168.4,74
TGRH88_033130,7,74,323,323,119,169.2,75
TGRH88_048730,42,490,4,4,306,169.2,75
TGRH88_051090,250,33,143,143,279,169.6,77
TGRH88_037170,12,35,350,350,107,170.8,78
TGRH88_072070,182,451,87,87,56,172.6,79
TGRH88_033020,152,417,113,113,69,172.8,80
TGRH88_024450,31,42,349,349,100,174.2,81
TGRH88_033670,104,104,245,245,174,174.4,82
TGRH88_013600,225,187,123,123,216,174.8,83
TGRH88_057790,107,424,36,36,281,176.8,84
TGRH88_001930,267,96,161,161,208,178.6,85
TGRH88_080370,14,6,80,80,724,180.8,86
TGRH88_051520,98,23,371,371,54,183.4,87
TGRH88_072400,52,480,9,9,400,190,88
TGRH88_075680,298,227,192,192,42,190.2,89
TGRH88_005690,146,91,257,257,203,190.8,90
TGRH88_061360,26,330,1,1,601,191.8,91
TGRH88_034270,117,647,73,73,52,192.4,92
TGRH88_058030,174,565,83,83,64,193.8,93
TGRH88_038420,29,53,337,337,213,193.8,93
TGRH88_040480,72,640,14,14,230,194,95
TGRH88_062330,216,447,116,116,77,194.4,96
TGRH88_023880,236,223,131,131,257,195.6,97
TGRH88_077520,329,176,223,223,31,196.4,98
TGRH88_028940,132,617,52,52,130,196.6,99
TGRH88_057500,194,184,118,118,371,197,100
TGRH88_046920,165,282,115,115,310,197.4,101
TGRH88_006920,9,31,344,344,268,199.2,102
TGRH88_027190,205,85,295,295,121,200.2,103
TGRH88_064030,273,243,166,166,153,200.2,103
TGRH88_007680,262,77,154,154,359,201.2,105
TGRH88_033890,137,431,99,99,241,201.4,106
TGRH88_081620,292,299,186,186,47,202,107
TGRH88_002680,43,80,436,436,23,203.6,108
TGRH88_015670,142,112,216,216,336,204.4,109
TGRH88_013900,266,156,254,254,108,207.6,110
TGRH88_038710,5,13,299,299,456,214.4,111
TGRH88_081410,86,538,29,29,397,215.8,112
TGRH88_070990,263,1,156,156,509,217,113
TGRH88_002430,207,245,104,104,443,220.6,114
TGRH88_047040,59,9,85,85,881,223.8,115
TGRH88_044470,162,467,94,94,316,226.6,116
TGRH88_004020,141,499,92,92,309,226.6,116
TGRH88_043860,125,61,404,404,142,227.2,118
TGRH88_057440,336,197,231,231,143,227.6,119
TGRH88_069420,232,476,126,126,186,229.2,120
TGRH88_061520,286,353,177,177,157,230,121
TGRH88_049160,270,398,164,164,156,230.4,122
TGRH88_023870,230,146,270,270,237,230.6,123
TGRH88_082680,383,172,279,279,40,230.6,123
TGRH88_057130,355,177,249,249,126,231.2,125
TGRH88_080270,229,623,124,124,59,231.8,126
TGRH88_055770,4,11,552,552,43,232.4,127
TGRH88_026540,189,45,366,366,207,234.6,128
TGRH88_038370,416,93,312,312,50,236.6,129
TGRH88_067800,332,274,227,227,129,237.8,130
TGRH88_025710,268,340,162,162,265,239.4,131
TGRH88_060810,48,118,469,469,94,239.6,132
TGRH88_046190,155,22,472,472,80,240.2,133
TGRH88_023710,293,226,187,187,314,241.4,134
TGRH88_063300,118,539,47,47,460,242.2,135
TGRH88_064360,381,193,278,278,89,243.8,136
