Protein,MC4_Rank,MCT_Rank,MC4_Score,MCT_Score
TGRH88_011090,1,1,1,1
TGRH88_005300,2,2,0.99987724,0.99987724
TGRH88_022490,3,3,0.999754481,0.999754481
TGRH88_054080,4,5,0.999631721,0.999508961
TGRH88_064620,5,4,0.999508961,0.999631721
TGRH88_006720,6,6,0.999386202,0.999386202
TGRH88_076900,7,15,0.999263442,0.998281365
TGRH88_043600,8,9,0.999140683,0.999017923
TGRH88_052140,9,7,0.999017923,0.999263442
TGRH88_005500,10,11,0.998895163,0.998772404
TGRH88_014830,11,10,0.998772404,0.998895163
TGRH88_024370,12,8,0.998649644,0.999140683
TGRH88_016190,13,12,0.998526884,0.998649644
TGRH88_025740,14,24,0.998404125,0.997176528
TGRH88_017260,15,29,0.998281365,0.99656273
TGRH88_061360,16,44,0.998158605,0.994721336
TGRH88_035710,17,18,0.998035846,0.997913086
TGRH88_077680,18,19,0.997913086,0.997790327
TGRH88_004640,19,13,0.997790327,0.998526884
TGRH88_007130,20,25,0.997667567,0.997053769
TGRH88_020320,21,16,0.997544807,0.998158605
TGRH88_037980,22,14,0.997422048,0.998404125
TGRH88_016210,23,17,0.997299288,0.998035846
TGRH88_005460,24,26,0.997176528,0.996931009
TGRH88_048730,25,43,0.997053769,0.994844095
TGRH88_083150,26,30,0.996931009,0.996439971
TGRH88_010860,27,20,0.996808249,0.997667567
TGRH88_031080,28,70,0.99668549,0.991529585
TGRH88_026590,29,37,0.99656273,0.995580653
TGRH88_061480,30,35,0.996439971,0.995826172
TGRH88_058550,31,31,0.996317211,0.996317211
TGRH88_081430,32,22,0.996194451,0.997422048
TGRH88_069280,33,36,0.996071692,0.995703413
TGRH88_035590,34,41,0.995948932,0.995089615
TGRH88_039100,35,21,0.995826172,0.997544807
TGRH88_072400,36,51,0.995703413,0.993862018
TGRH88_055770,37,78,0.995580653,0.990547508
TGRH88_053060,38,39,0.995457893,0.995335134
TGRH88_013710,39,23,0.995335134,0.997299288
TGRH88_036780,40,34,0.995212374,0.995948932
TGRH88_022410,41,27,0.995089615,0.996808249
TGRH88_054070,42,28,0.994966855,0.99668549
TGRH88_040480,43,56,0.994844095,0.99324822
TGRH88_074130,44,45,0.994721336,0.994598576
TGRH88_023680,45,40,0.994598576,0.995212374
TGRH88_081110,46,55,0.994475816,0.99337098
TGRH88_059530,47,32,0.994353057,0.996194451
TGRH88_067750,48,33,0.994230297,0.996071692
TGRH88_055000,49,38,0.994107537,0.995457893
TGRH88_002680,50,77,0.993984778,0.990670268
TGRH88_060690,51,42,0.993862018,0.994966855
TGRH88_047350,52,46,0.993739259,0.994475816
TGRH88_071510,53,52,0.993616499,0.993739259
TGRH88_032820,54,100,0.993493739,0.987846796
TGRH88_052690,55,53,0.99337098,0.993616499
TGRH88_073680,56,48,0.99324822,0.994230297
TGRH88_018000,57,81,0.99312546,0.990179229
TGRH88_081410,58,73,0.993002701,0.991161306
TGRH88_024110,59,47,0.992879941,0.994353057
TGRH88_034270,60,65,0.992757181,0.992143383
TGRH88_080370,61,60,0.992634422,0.992757181
TGRH88_002150,62,54,0.992511662,0.993493739
TGRH88_070170,63,50,0.992388903,0.993984778
TGRH88_024390,64,58,0.992266143,0.993002701
TGRH88_032780,65,99,0.992143383,0.987969556
TGRH88_028940,66,75,0.992020624,0.990915787
TGRH88_057790,67,67,0.991897864,0.991897864
TGRH88_047040,68,76,0.991775104,0.990793027
TGRH88_051660,69,57,0.991652345,0.99312546
TGRH88_031880,70,49,0.991529585,0.994107537
TGRH88_038830,71,107,0.991406825,0.986987479
TGRH88_051520,72,85,0.991284066,0.989688191
TGRH88_023910,73,63,0.991161306,0.992388903
TGRH88_003140,74,96,0.991038547,0.988337835
TGRH88_024450,75,82,0.990915787,0.990056469
TGRH88_003050,76,61,0.990793027,0.992634422
TGRH88_037170,77,80,0.990670268,0.990301989
TGRH88_021900,78,74,0.990547508,0.991038547
TGRH88_033130,79,83,0.990424748,0.98993371
TGRH88_012590,80,68,0.990301989,0.991775104
TGRH88_012340,81,246,0.990179229,0.969923889
TGRH88_015880,82,184,0.990056469,0.977534986
TGRH88_081400,83,64,0.98993371,0.992266143
TGRH88_047940,84,249,0.98981095,0.96955561
TGRH88_015810,85,66,0.989688191,0.992020624
TGRH88_071150,86,71,0.989565431,0.991406825
TGRH88_058030,87,88,0.989442671,0.989319912
TGRH88_031220,88,59,0.989319912,0.992879941
TGRH88_063300,89,98,0.989197152,0.988092315
TGRH88_050250,90,79,0.989074392,0.990424748
TGRH88_072070,91,84,0.988951633,0.98981095
TGRH88_042690,92,110,0.988828873,0.9866192
TGRH88_033020,93,87,0.988706113,0.989442671
TGRH88_057830,94,62,0.988583354,0.992511662
TGRH88_033800,95,86,0.988460594,0.989565431
TGRH88_033890,96,95,0.988337835,0.988460594
TGRH88_013970,97,108,0.988215075,0.986864719
TGRH88_060810,98,113,0.988092315,0.986250921
TGRH88_037860,99,140,0.987969556,0.982936411
TGRH88_032900,100,115,0.987846796,0.986005401
TGRH88_004020,101,102,0.987724036,0.987601277
TGRH88_045680,102,69,0.987601277,0.991652345
TGRH88_027910,103,72,0.987478517,0.991284066
TGRH88_066880,104,112,0.987355757,0.98637368
TGRH88_070340,105,236,0.987232998,0.971151485
TGRH88_066420,106,129,0.987110238,0.984286767
TGRH88_033670,107,97,0.986987479,0.988215075
TGRH88_070330,108,177,0.986864719,0.978394304
TGRH88_053710,109,133,0.986741959,0.983795728
TGRH88_038420,110,103,0.9866192,0.987478517
TGRH88_070730,111,153,0.98649644,0.981340535
