Protein,Copeland_Score,Copeland_Rank
TGRH88_005300,40670.01657,1
TGRH88_011090,40664.01656,2
TGRH88_022490,40556.01652,3
TGRH88_064620,40534.01651,4
TGRH88_054080,40510.0165,5
TGRH88_006720,40442.01647,6
TGRH88_024370,40430.01647,7
TGRH88_052140,40386.01645,8
TGRH88_014830,40362.01644,9
TGRH88_037980,40354.01644,10
TGRH88_004640,40344.01643,11
TGRH88_043600,40332.01643,12
TGRH88_016190,40284.01641,13
TGRH88_020320,40276.01641,14
TGRH88_005500,40262.0164,15
TGRH88_016210,40250.0164,16
TGRH88_076900,40134.01635,17
TGRH88_010860,40130.01635,18
TGRH88_039100,40128.01635,19
TGRH88_013710,40120.01634,20
TGRH88_035710,40084.01633,21
TGRH88_067750,40058.01632,22
TGRH88_059530,40054.01632,23
TGRH88_022410,40038.01631,24
TGRH88_081430,40026.0163,25
TGRH88_054070,40026.0163,26
TGRH88_077680,39928.01626,27
TGRH88_055000,39922.01626,28
TGRH88_007130,39878.01624,29
TGRH88_083150,39856.01624,30
TGRH88_060690,39844.01623,31
TGRH88_036780,39832.01623,32
TGRH88_058550,39800.01621,33
TGRH88_026590,39772.0162,34
TGRH88_023680,39764.0162,35
TGRH88_005460,39730.01618,36
TGRH88_061480,39688.01617,37
TGRH88_069280,39664.01616,38
TGRH88_057830,39664.01616,39
TGRH88_025740,39646.01615,40
TGRH88_031880,39644.01615,41
TGRH88_031220,39638.01615,42
TGRH88_070170,39608.01613,43
TGRH88_045680,39604.01613,44
TGRH88_053060,39604.01613,45
TGRH88_024110,39574.01612,46
TGRH88_027910,39552.01611,47
TGRH88_051660,39532.0161,48
TGRH88_035590,39522.0161,49
TGRH88_073680,39506.01609,50
TGRH88_017260,39496.01609,51
TGRH88_003050,39486.01608,52
TGRH88_002150,39454.01607,53
TGRH88_047350,39428.01606,54
TGRH88_078580,39402.01605,55
TGRH88_014370,39372.01604,56
TGRH88_023910,39370.01604,57
TGRH88_081400,39346.01603,58
TGRH88_074130,39340.01603,59
TGRH88_012590,39338.01602,60
TGRH88_015810,39338.01602,61
TGRH88_024390,39310.01601,62
TGRH88_031850,39274.016,63
TGRH88_071150,39252.01599,64
TGRH88_003360,39252.01599,65
TGRH88_081110,39218.01598,66
TGRH88_052690,39216.01597,67
TGRH88_017020,39214.01597,68
TGRH88_021900,39206.01597,69
TGRH88_007470,39204.01597,70
TGRH88_033800,39186.01596,71
TGRH88_071510,39118.01593,72
TGRH88_050250,39064.01591,73
TGRH88_049510,39056.01591,74
TGRH88_033130,39048.01591,75
TGRH88_048730,39048.01591,76
TGRH88_051090,39044.0159,77
TGRH88_037170,39032.0159,78
TGRH88_072070,39014.01589,79
TGRH88_033020,39012.01589,80
TGRH88_024450,38998.01589,81
TGRH88_033670,38996.01589,82
TGRH88_013600,38992.01588,83
TGRH88_057790,38972.01588,84
TGRH88_001930,38954.01587,85
TGRH88_080370,38932.01586,86
TGRH88_051520,38906.01585,87
TGRH88_072400,38840.01582,88
TGRH88_075680,38838.01582,89
TGRH88_005690,38832.01582,90
TGRH88_061360,38822.01581,91
TGRH88_034270,38816.01581,92
TGRH88_038420,38802.01581,93
TGRH88_058030,38802.01581,94
TGRH88_040480,38800.01581,95
TGRH88_062330,38796.0158,96
TGRH88_023880,38784.0158,97
TGRH88_077520,38776.0158,98
TGRH88_028940,38774.01579,99
TGRH88_057500,38770.01579,100
TGRH88_046920,38766.01579,101
TGRH88_006920,38748.01578,102
TGRH88_027190,38738.01578,103
TGRH88_064030,38738.01578,104
TGRH88_007680,38728.01578,105
TGRH88_033890,38726.01578,106
TGRH88_081620,38720.01577,107
TGRH88_002680,38704.01577,108
TGRH88_015670,38696.01576,109
TGRH88_013900,38664.01575,110
TGRH88_038710,38596.01572,111
TGRH88_081410,38582.01572,112
TGRH88_070990,38570.01571,113
TGRH88_002430,38534.0157,114
TGRH88_047040,38502.01568,115
TGRH88_004020,38474.01567,116
TGRH88_044470,38474.01567,117
TGRH88_043860,38468.01567,118
TGRH88_057440,38464.01567,119
TGRH88_069420,38448.01566,120
TGRH88_061520,38440.01566,121
TGRH88_049160,38436.01566,122
TGRH88_023870,38434.01566,123
TGRH88_082680,38434.01566,124
TGRH88_057130,38428.01565,125
TGRH88_080270,38422.01565,126
TGRH88_055770,38416.01565,127
TGRH88_026540,38394.01564,128
TGRH88_038370,38374.01563,129
TGRH88_067800,38362.01563,130
TGRH88_025710,38346.01562,131
TGRH88_060810,38344.01562,132
TGRH88_046190,38338.01562,133
TGRH88_023710,38326.01561,134
TGRH88_063300,38318.01561,135
TGRH88_064360,38302.0156,136
TGRH88_018000,38300.0156,137
TGRH88_068780,38300.0156,138
TGRH88_087846,38248.01558,139
TGRH88_053560,38234.01557,140
TGRH88_031230,38228.01557,141
TGRH88_071350,38198.01556,142
TGRH88_059230,38166.01555,143
TGRH88_057580,38166.01555,144
TGRH88_066880,38164.01555,145
TGRH88_044870,38146.01554,146
TGRH88_063590,38142.01554,147
TGRH88_068380,38120.01553,148
TGRH88_033090,38116.01553,149
TGRH88_020280,38098.01552,150
TGRH88_003110,38096.01552,151
TGRH88_054950,38094.01552,152
TGRH88_044880,38064.01551,153
TGRH88_003140,38060.0155,154
TGRH88_052060,38056.0155,155
TGRH88_022760,38052.0155,156
TGRH88_079030,38034.01549,157
TGRH88_007890,38034.01549,158
TGRH88_064880,38014.01549,159
TGRH88_014760,38008.01548,160
TGRH88_038830,37990.01548,161
TGRH88_076980,37990.01548,162
TGRH88_041740,37970.01547,163
TGRH88_069820,37968.01547,164
TGRH88_056130,37954.01546,165
TGRH88_006850,37944.01546,166
TGRH88_013970,37940.01545,167
TGRH88_062770,37938.01545,168
TGRH88_028140,37928.01545,169
TGRH88_032900,37922.01545,170
TGRH88_031080,37886.01543,171
TGRH88_058310,37866.01542,172
TGRH88_058770,37862.01542,173
TGRH88_032250,37838.01541,174
TGRH88_043710,37808.0154,175
TGRH88_031000,37806.0154,176
TGRH88_037270,37804.0154,177
TGRH88_035020,37786.01539,178
TGRH88_032780,37782.01539,179
TGRH88_078780,37780.01539,180
TGRH88_022440,37754.01538,181
TGRH88_054280,37746.01538,182
TGRH88_057490,37710.01536,183
TGRH88_043060,37680.01535,184
TGRH88_042690,37678.01535,185
TGRH88_022900,37678.01535,186
TGRH88_061220,37660.01534,187
TGRH88_033260,37646.01534,188
TGRH88_073840,37602.01532,189
TGRH88_082060,37590.01531,190
TGRH88_063330,37582.01531,191
TGRH88_043360,37548.0153,192
TGRH88_049500,37482.01527,193
TGRH88_081970,37478.01527,194
TGRH88_012940,37466.01526,195
TGRH88_057360,37440.01525,196
TGRH88_026870,37430.01525,197
TGRH88_015210,37398.01523,198
TGRH88_082000,37398.01523,199
TGRH88_053710,37386.01523,200
TGRH88_080150,37354.01522,201
TGRH88_019320,37352.01522,202
TGRH88_029560,37346.01521,203
TGRH88_011570,37342.01521,204
TGRH88_060660,37334.01521,205
TGRH88_030710,37332.01521,206
TGRH88_067200,37292.01519,207
TGRH88_034930,37292.01519,208
TGRH88_078610,37276.01518,209
TGRH88_078710,37274.01518,210
TGRH88_066420,37260.01518,211
