Protein,MC4_Rank,MCT_Rank
TGRH88_011090,1,1
TGRH88_005300,2,2
TGRH88_022490,3,3
TGRH88_054080,4,5
TGRH88_064620,5,4
TGRH88_006720,6,6
TGRH88_076900,7,15
TGRH88_043600,8,9
TGRH88_052140,9,7
TGRH88_005500,10,11
TGRH88_014830,11,10
TGRH88_024370,12,8
TGRH88_016190,13,12
TGRH88_025740,14,24
TGRH88_017260,15,29
TGRH88_061360,16,44
TGRH88_035710,17,18
TGRH88_077680,18,19
TGRH88_004640,19,13
TGRH88_007130,20,25
TGRH88_020320,21,16
TGRH88_037980,22,14
TGRH88_016210,23,17
TGRH88_005460,24,26
TGRH88_048730,25,43
TGRH88_083150,26,30
TGRH88_010860,27,20
TGRH88_031080,28,70
TGRH88_026590,29,37
TGRH88_061480,30,35
TGRH88_058550,31,31
TGRH88_081430,32,22
TGRH88_069280,33,36
TGRH88_035590,34,41
TGRH88_039100,35,21
TGRH88_072400,36,51
TGRH88_055770,37,78
TGRH88_053060,38,39
TGRH88_013710,39,23
TGRH88_036780,40,34
TGRH88_022410,41,27
TGRH88_054070,42,28
TGRH88_040480,43,56
TGRH88_074130,44,45
TGRH88_023680,45,40
TGRH88_081110,46,55
TGRH88_059530,47,32
TGRH88_067750,48,33
TGRH88_055000,49,38
TGRH88_002680,50,77
TGRH88_060690,51,42
TGRH88_047350,52,46
TGRH88_071510,53,52
TGRH88_032820,54,100
TGRH88_052690,55,53
TGRH88_073680,56,48
TGRH88_018000,57,81
TGRH88_081410,58,73
TGRH88_024110,59,47
TGRH88_034270,60,65
TGRH88_080370,61,60
TGRH88_002150,62,54
TGRH88_070170,63,50
TGRH88_024390,64,58
TGRH88_032780,65,99
TGRH88_028940,66,75
TGRH88_057790,67,67
TGRH88_047040,68,76
TGRH88_051660,69,57
TGRH88_031880,70,49
TGRH88_038830,71,107
TGRH88_051520,72,85
TGRH88_023910,73,63
TGRH88_003140,74,96
TGRH88_024450,75,82
TGRH88_003050,76,61
TGRH88_037170,77,80
TGRH88_021900,78,74
TGRH88_033130,79,83
TGRH88_012590,80,68
TGRH88_012340,81,246
TGRH88_015880,82,184
TGRH88_081400,83,64
TGRH88_047940,84,249
TGRH88_015810,85,66
TGRH88_071150,86,71
TGRH88_058030,87,88
TGRH88_031220,88,59
TGRH88_063300,89,98
TGRH88_050250,90,79
TGRH88_072070,91,84
TGRH88_042690,92,110
TGRH88_033020,93,87
TGRH88_057830,94,62
TGRH88_033800,95,86
TGRH88_033890,96,95
TGRH88_013970,97,108
TGRH88_060810,98,113
TGRH88_037860,99,140
TGRH88_032900,100,115
TGRH88_004020,101,102
TGRH88_045680,102,69
TGRH88_027910,103,72
TGRH88_066880,104,112
TGRH88_070340,105,236
TGRH88_066420,106,129
TGRH88_033670,107,97
TGRH88_070330,108,177
TGRH88_053710,109,133
TGRH88_038420,110,103
TGRH88_070730,111,153
TGRH88_003360,112,92
TGRH88_007470,113,91
TGRH88_044470,114,109
TGRH88_035020,115,142
TGRH88_048920,116,265
TGRH88_078580,117,89
TGRH88_062330,118,101
TGRH88_046190,119,125
TGRH88_031850,120,93
TGRH88_017020,121,94
TGRH88_043860,122,120
TGRH88_014370,123,90
TGRH88_080270,124,117
TGRH88_076980,125,127
TGRH88_046920,126,105
TGRH88_046270,127,180
TGRH88_036870,128,224
TGRH88_044880,129,138
TGRH88_072750,130,194
TGRH88_029560,131,144
TGRH88_068380,132,139
TGRH88_006920,133,116
TGRH88_005690,134,114
TGRH88_059600,135,241
TGRH88_041840,136,269
TGRH88_077450,137,166
TGRH88_079880,138,277
TGRH88_070990,139,119
TGRH88_051090,140,104
TGRH88_059230,141,132
TGRH88_057500,142,118
TGRH88_049510,143,106
TGRH88_022500,144,200
TGRH88_031230,145,134
TGRH88_013600,146,111
TGRH88_003110,147,145
TGRH88_027190,148,123
TGRH88_002430,149,124
TGRH88_069420,150,128
TGRH88_015670,151,122
TGRH88_046880,152,221
TGRH88_043710,153,148
TGRH88_083260,154,203
TGRH88_071350,155,141
TGRH88_023880,156,121
TGRH88_075320,157,160
TGRH88_079340,158,234
TGRH88_023740,159,256
TGRH88_038710,160,130
TGRH88_067910,161,264
TGRH88_045900,162,243
TGRH88_014760,163,155
TGRH88_081130,164,183
TGRH88_011570,165,162
TGRH88_004160,166,190
TGRH88_068730,167,299
TGRH88_007680,168,131
TGRH88_026540,169,147
TGRH88_058770,170,161
TGRH88_071090,171,279
TGRH88_052790,172,185
TGRH88_076210,173,325
TGRH88_001930,174,126
TGRH88_007440,175,284
TGRH88_060660,176,171
TGRH88_078610,177,168
TGRH88_070750,178,225
TGRH88_022760,179,159
TGRH88_013900,180,143
TGRH88_037270,181,158
TGRH88_039690,182,191
TGRH88_081620,183,136
TGRH88_049160,184,146
TGRH88_079510,185,207
TGRH88_064030,186,137
TGRH88_074310,187,211
TGRH88_034930,188,175
TGRH88_068780,189,150
TGRH88_075680,190,135
TGRH88_071240,191,179
TGRH88_062530,192,250
TGRH88_057360,193,176
TGRH88_062830,194,182
TGRH88_007890,195,157
TGRH88_026870,196,178
TGRH88_057580,197,156
TGRH88_036390,198,206
TGRH88_023870,199,152
TGRH88_026940,200,281
TGRH88_025710,201,154
TGRH88_061520,202,151
TGRH88_079030,203,164
TGRH88_023040,204,350
TGRH88_070890,205,204
TGRH88_056130,206,165
TGRH88_049490,207,223
TGRH88_036360,208,226
TGRH88_078780,209,174
TGRH88_020280,210,169
TGRH88_081970,211,186
TGRH88_062770,212,173
TGRH88_082000,213,189
TGRH88_004340,214,233
TGRH88_077520,215,149
TGRH88_065140,216,199
TGRH88_074990,217,228
TGRH88_060710,218,208
TGRH88_039320,219,339
TGRH88_015010,220,231
TGRH88_064400,221,238
TGRH88_023710,222,163
TGRH88_078710,223,216
TGRH88_087846,224,167
TGRH88_037320,225,329
TGRH88_074850,226,258
TGRH88_082440,227,309
TGRH88_063330,228,198
TGRH88_061600,229,259
TGRH88_082240,230,267
TGRH88_067800,231,172
TGRH88_053640,232,232
TGRH88_006570,233,289
TGRH88_011860,234,240
TGRH88_008470,235,230
TGRH88_030710,236,215
TGRH88_057440,237,170
TGRH88_017130,238,280
TGRH88_026090,239,283
TGRH88_032250,240,195
TGRH88_059290,241,229
TGRH88_067200,242,222
TGRH88_016530,243,384
TGRH88_006850,244,192
TGRH88_069440,245,266
TGRH88_015210,246,214
TGRH88_038690,247,262
TGRH88_054950,248,193
TGRH88_052060,249,188
TGRH88_035600,250,239
TGRH88_041740,251,197
TGRH88_019320,252,220
TGRH88_057130,253,181
TGRH88_033090,254,196
TGRH88_071710,255,268
TGRH88_056280,256,244
TGRH88_082950,257,338
TGRH88_015180,258,271
TGRH88_057490,259,212
TGRH88_074030,260,333
TGRH88_022440,261,218
TGRH88_058310,262,209
TGRH88_031000,263,210
TGRH88_033270,264,292
TGRH88_020340,265,260
TGRH88_061220,266,219
TGRH88_019420,267,253
TGRH88_030100,268,263
TGRH88_014800,269,261
TGRH88_046720,270,345
TGRH88_029500,271,318
TGRH88_052840,272,254
TGRH88_027470,273,412
TGRH88_053560,274,201
TGRH88_082680,275,187
TGRH88_066240,276,257
TGRH88_044870,277,205
TGRH88_042150,278,343
TGRH88_028140,279,217
TGRH88_064360,280,202
TGRH88_022950,281,433
TGRH88_030970,282,328
TGRH88_068970,283,255
TGRH88_004280,284,274
TGRH88_025990,285,435
TGRH88_005480,286,326
TGRH88_003800,287,251
TGRH88_067220,288,286
TGRH88_036440,289,347
TGRH88_043360,290,235
TGRH88_066400,291,247
TGRH88_027920,292,423
TGRH88_002100,293,293
TGRH88_029130,294,307
TGRH88_010170,295,360
TGRH88_067520,296,305
TGRH88_034110,297,349
TGRH88_058920,298,337
TGRH88_034160,299,331
TGRH88_041970,300,295
TGRH88_025270,301,285
TGRH88_054280,302,237
