Conf_B,Tz_RNA,Linear_B,Net_C,T-cell Score,Exposed,GRAVY,Protein
4121.0,6481.0,5404.5,3546.0,6349.0,191.5,1089.5,TGRH88_000020
1979.0,6842.5,1450.0,5145.5,1784.5,6235.5,3312.0,TGRH88_000030
2548.5,2204.5,5404.5,7223.5,1112.0,2618.5,2154.0,TGRH88_000040
5075.0,2762.5,5404.5,5758.0,4262.5,1026.0,29.0,TGRH88_000050
4580.5,4139.0,5404.5,4531.0,6756.5,6235.5,5492.0,TGRH88_000060
2914.0,1228.5,5404.5,3051.5,2934.0,1371.0,1420.5,TGRH88_000070
920.0,246.0,2252.5,7052.0,5526.0,6235.5,7943.5,TGRH88_000080
7097.0,2865.0,5404.5,653.5,1147.5,3258.5,4287.5,TGRH88_000090
7097.0,3633.5,5404.5,954.5,1529.5,2621.5,2893.0,TGRH88_000100
2638.0,1440.0,5404.5,5178.5,678.0,678.0,124.0,TGRH88_000110
3000.0,3154.0,5404.5,1953.0,6473.5,6235.5,2388.0,TGRH88_000120
7097.0,6045.0,1861.0,4960.0,5460.0,1026.0,3608.0,TGRH88_000140
7097.0,7689.5,5404.5,2889.0,4808.0,191.5,2302.5,TGRH88_000150
7097.0,1557.5,5404.5,6989.0,6080.0,191.5,2519.5,TGRH88_000170
7097.0,7689.5,498.5,2460.0,7766.5,191.5,5424.0,TGRH88_000190
7097.0,6260.5,384.5,7780.0,5856.5,3148.5,7246.0,TGRH88_000200
5899.0,2298.5,5404.5,7254.0,2971.5,191.5,698.5,TGRH88_000210
7097.0,1810.5,5404.5,4667.0,2262.5,191.5,359.0,TGRH88_000220
2683.0,3586.0,5404.5,2397.5,3775.5,6235.5,4925.0,TGRH88_000230
7097.0,5247.5,5404.5,40.0,1692.0,6235.5,7720.5,TGRH88_000240
5917.0,198.5,5404.5,7411.0,6394.5,1763.5,1448.5,TGRH88_000250
7097.0,5171.0,5404.5,6952.5,385.0,6235.5,2320.0,TGRH88_000260
1428.0,1886.5,5404.5,4634.5,5099.5,1339.5,3946.5,TGRH88_000270
5936.5,7689.5,911.5,4877.0,7490.0,1026.0,628.0,TGRH88_000280
757.0,1159.0,5404.5,2548.5,546.0,6235.5,3427.5,TGRH88_000290
1743.0,3464.0,5404.5,3991.0,2559.0,6235.5,4583.0,TGRH88_000300
1138.5,7077.0,5404.5,5900.5,2133.5,3267.0,2154.0,TGRH88_000310
3548.0,675.0,5404.5,6214.0,7440.0,6235.5,3301.5,TGRH88_000320
7097.0,3315.0,544.0,7254.0,1560.5,6235.5,7298.5,TGRH88_000330
3689.5,1380.0,5404.5,7542.5,5798.5,6235.5,2479.0,TGRH88_000340
2622.0,4076.0,5404.5,4802.5,928.0,6235.5,4753.5,TGRH88_000350
7097.0,1499.5,5404.5,5125.5,83.0,1722.0,3717.0,TGRH88_000360
7097.0,2327.0,5404.5,7029.5,1664.0,191.5,6020.0,TGRH88_000370
2284.0,3850.5,1056.0,2419.0,4389.0,2157.0,2619.5,TGRH88_000380
4819.5,3273.5,5404.5,5874.0,3151.0,1215.0,980.0,TGRH88_000390
2337.0,2363.0,5404.5,3699.5,3926.0,6235.5,4673.0,TGRH88_000400
